POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Ryan Blaney	12	Ford	319	5	20	58	18	0	
2	Brad Keselowski	6	Ford	319	19	6	35	0	0	
3	Kyle Larson	5	Chevrolet	319	3	0	34	0	0	
4	Joey Logano	22	Ford	319	10	0	39	6	0	
5	Kyle Busch	8	Chevrolet	319	11	0	32	0	0	
6	Denny Hamlin	11	Toyota	319	1	208	31	0	0	
7	Josh Berry	21	Ford	319	7	0	30	0	0	
8	Michael McDowell	71	Chevrolet	319	37	0	29	0	0	
9	Ryan Preece	60	Ford	319	21	0	28	0	0	
10	Chase Elliott	9	Chevrolet	319	17	30	28	1	0	
11	Christopher Bell	20	Toyota	319	20	0	32	6	0	
12	Chris Buescher	17	Ford	319	9	0	27	2	0	
13	Ross Chastain	1	Chevrolet	319	13	0	29	5	0	
14	Justin Haley	7	Chevrolet	319	29	0	23	0	0	
15	Alex Bowman	48	Chevrolet	319	8	0	26	4	0	
16	Erik Jones	43	Toyota	319	15	0	21	0	0	
17	Ricky Stenhouse Jr.	47	Chevrolet	319	16	0	20	0	0	
18	Chase Briscoe	19	Toyota	319	12	3	19	0	0	
19	Daniel Suarez	99	Chevrolet	319	14	0	18	0	0	
20	Austin Dillon	3	Chevrolet	319	26	0	17	0	0	
21	Ty Gibbs	54	Toyota	319	25	0	16	0	0	
22	Todd Gilliland	34	Ford	319	30	0	15	0	0	
23	Riley Herbst	35	Toyota	319	32	0	14	0	0	
24	Shane van Gisbergen	88	Chevrolet	319	31	0	13	0	0	
25	Cole Custer	41	Ford	319	27	0	12	0	0	
26	Tyler Reddick	45	Toyota	319	24	0	11	0	0	
27	Noah Gragson	4	Ford	319	18	0	10	0	0	
28	Carson Hocevar	77	Chevrolet	319	6	0	16	7	0	
29	Zane Smith	38	Ford	319	22	0	8	0	0	
30	Cody Ware	51	Ford	319	33	0	7	0	0	
31	John Hunter Nemechek	42	Toyota	319	28	0	6	0	0	
32	J.J. Yeley	44	Chevrolet	317	35	0	0	0	0	
33	William Byron	24	Chevrolet	317	2	52	4	0	0	
34	Austin Cindric	2	Ford	301	4	0	10	7	0	
35	Ty Dillon	10	Chevrolet	296	34	0	2	0	0	
36	Casey Mears	66	Ford	284	36	0	0	0	0	
37	Bubba Wallace	23	Toyota	165	23	0	1	0	0	
38	AJ Allmendinger	16	Chevrolet	146	38	0	1	0	0	
