POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Ryan Blaney	12	Ford	160	1	27	52	12	0	
2	Daniel Suarez	99	Chevrolet	160	12	6	35	0	0	
3	Justin Haley	7	Chevrolet	160	37	2	40	6	0	
4	Cole Custer	41	Ford	160	29	7	33	0	0	
5	Erik Jones	43	Toyota	160	26	10	32	0	0	
6	Kyle Larson	5	Chevrolet	160	3	3	42	11	0	
7	Chris Buescher	17	Ford	160	24	0	30	0	0	
8	Ty Gibbs	54	Toyota	160	18	0	31	2	0	
9	Josh Berry	21	Ford	160	11	0	28	0	0	
10	Chase Elliott	9	Chevrolet	160	30	0	27	0	0	
11	Todd Gilliland	34	Ford	160	28	0	30	4	0	
12	Michael McDowell	71	Chevrolet	160	20	3	32	7	0	
13	Christopher Bell	20	Toyota	160	15	4	34	10	0	
14	Ryan Preece	60	Ford	160	31	3	29	6	0	
15	Ross Chastain	1	Chevrolet	160	19	7	41	19	0	
16	Shane van Gisbergen	88	Chevrolet	160	17	6	21	0	0	
17	John Hunter Nemechek	42	Toyota	160	34	7	27	7	0	
18	Brad Keselowski	6	Ford	160	10	0	19	0	0	
19	William Byron	24	Chevrolet	160	8	5	24	6	0	
20	Cody Ware	51	Ford	160	35	23	17	0	0	
21	Tyler Reddick	45	Toyota	160	27	0	16	0	0	
22	Ty Dillon	10	Chevrolet	160	23	9	15	0	0	
23	Chase Briscoe	19	Toyota	160	9	6	21	7	0	
24	Austin Dillon	3	Chevrolet	160	7	4	13	0	0	
25	Denny Hamlin	11	Toyota	160	6	0	12	0	0	
26	AJ Allmendinger	16	Chevrolet	159	21	0	12	1	0	
27	Joey Logano	22	Ford	159	4	27	23	13	0	
28	Joey Gase	44	Chevrolet	157	40	0	0	0	0	
29	Casey Mears	66	Ford	156	39	0	8	0	0	
30	Austin Hill	33	Chevrolet	155	36	0	0	0	0	
31	Zane Smith	38	Ford	154	13	0	6	0	0	
32	B.J. McLeod	78	Chevrolet	137	38	0	5	0	0	
33	Kyle Busch	8	Chevrolet	95	14	0	4	0	0	
34	Carson Hocevar	77	Chevrolet	81	16	0	3	0	0	
35	Ricky Stenhouse Jr.	47	Chevrolet	28	25	0	2	0	0	
36	Alex Bowman	48	Chevrolet	27	2	0	1	0	0	
37	Bubba Wallace	23	Toyota	27	22	1	1	0	0	
38	Noah Gragson	4	Ford	27	32	0	1	0	0	
39	Austin Cindric	2	Ford	27	5	0	1	0	0	
40	Riley Herbst	35	Toyota	27	33	0	1	0	0	
