POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Chase Briscoe	19	Toyota	193	2	16	50	10	0	
2	Todd Gilliland	34	Ford	193	27	11	39	4	0	
3	Ty Gibbs	54	Toyota	193	18	4	49	15	0	
4	Bubba Wallace	23	Toyota	193	10	5	39	6	0	
5	Cole Custer	41	Ford	193	12	0	32	0	0	
6	Carson Hocevar	77	Chevrolet	193	32	0	41	10	0	
7	Tyler Reddick	45	Toyota	193	15	3	39	9	0	
8	Christopher Bell	20	Toyota	193	7	0	36	7	0	
9	Zane Smith	38	Ford	193	23	2	32	4	0	
10	Brad Keselowski	6	Ford	193	20	7	27	0	0	
11	Shane van Gisbergen	88	Chevrolet	193	31	0	26	0	0	
12	Daniel Suarez	99	Chevrolet	193	26	2	25	0	0	
13	Ross Chastain	1	Chevrolet	193	24	3	24	0	0	
14	John Hunter Nemechek	42	Toyota	193	28	11	33	10	0	
15	Ryan Preece	60	Ford	193	5	1	22	0	0	
16	Joey Logano	22	Ford	193	16	35	26	5	0	
17	Michael McDowell	71	Chevrolet	193	1	5	24	4	0	
18	Casey Mears	66	Ford	193	40	0	19	0	0	
19	Kyle Busch	8	Chevrolet	193	3	26	18	0	0	
20	Ty Dillon	10	Chevrolet	193	29	2	17	0	0	
21	Anthony Alfredo	62	Chevrolet	193	38	2	0	0	0	
22	Austin Hill	33	Chevrolet	193	33	0	0	0	0	
23	Ryan Blaney	12	Ford	193	8	3	24	10	0	
24	Denny Hamlin	11	Toyota	193	17	3	13	0	0	
25	William Byron	24	Chevrolet	193	13	4	19	7	0	
26	Kyle Larson	5	Chevrolet	193	19	6	20	9	0	
27	Austin Dillon	3	Chevrolet	193	21	0	10	0	0	
28	B.J. McLeod	78	Chevrolet	193	39	0	0	0	0	
29	Alex Bowman	48	Chevrolet	193	11	0	9	1	0	
30	Chris Buescher	17	Ford	186	14	4	7	0	0	
31	Cody Ware	51	Ford	165	35	5	6	0	0	
32	Riley Herbst	35	Toyota	141	9	1	5	0	0	
33	Josh Berry	21	Ford	133	6	27	4	0	0	
34	Austin Cindric	2	Ford	193	4	2	3	0	0	
35	Erik Jones	43	Toyota	55	30	0	2	0	0	
36	Noah Gragson	4	Ford	51	36	2	1	0	0	
37	AJ Allmendinger	16	Chevrolet	51	34	1	1	0	0	
38	Ricky Stenhouse Jr.	47	Chevrolet	51	37	0	1	0	0	
39	Justin Haley	7	Chevrolet	51	22	0	1	0	0	
40	Chase Elliott	9	Chevrolet	51	25	0	1	0	0	
